iteration,CAPEX,EFFICIENCY,H2_PRICE,LIFETIME_HOURS,VOM,WACC,lcoh_$/kg,utilization_%,h2_production_kg,h2_production_tonnes,npv_$,npv_$m,payback_years,annual_cash_flow
75,1067.1211068734694,49.39510100476764,4.0580090537457405,89867.68535776073,4.8417953429668925,0.07789019007656629,1.7015211311308995,57.08999238964992,121495854.40509073,121495.85440509074,3764837158.4718165,3764.8371584718166,0.2984410683692344,357565100.77668536
76,962.4042072239394,49.161846825902764,5.437978084306845,62449.61669189946,3.92212733445691,0.05819671563152153,2.436624083542305,71.44691780821918,152770908.43631226,152770.90843631225,7355172802.647843,7355.172802647843,0.16758943007307456,574263070.6508752
77,907.3914525586139,53.06566288274031,4.22115355794307,95526.64349547253,4.560806347339573,0.0913949220295668,1.6879199276828483,57.1109208523592,113133421.38523719,113133.42138523719,3235577870.474503,3235.577870474503,0.26406858018646995,343619620.2963134
78,963.0759106563091,50.31099897820621,3.740171105535041,76707.25543421858,4.613887739708467,0.0721180784118961,1.575351815621676,52.720700152207,110154839.15158774,110154.83915158774,3411450367.2866,3411.4503672866003,0.3126399766544028,308046309.6761642
79,666.7714296693728,54.79404184155726,5.134000887809973,72583.91737863526,4.655372044204723,0.060890861282838354,2.0868263127948183,64.51959665144597,123778056.37356949,123778.05637356949,5492588700.962538,5492.588700962538,0.15171929743227408,439477008.49788904
80,918.6967559831545,45.10512909887138,4.02649559472362,87101.68919069378,4.553374854124764,0.08391738701488902,1.6104550856467421,60.416666666666664,140804385.81781855,140804.38581781855,4100825318.608394,4100.825318608394,0.22562663526703317,407175666.514665
81,1000.8885414404239,49.53282430349592,4.493779099213487,94258.07920781232,4.7326112914010245,0.07623286114504513,1.8050225106001376,60.9636605783866,129378853.1163506,129378.85311635061,4471908176.462548,4471.908176462548,0.24064591885956868,415917521.5535246
82,1160.599901375666,49.33110980264859,3.4119582135919595,90729.271439398,5.979444974134298,0.05,1.4344171128777965,48.09170471841705,102478943.21097507,102478.94321097506,3628977415.663096,3628.977415663096,0.43415395802709633,267324500.88667184
83,876.1464938960053,45.0,3.9068669446190487,84817.77967385495,6.228875999320496,0.06337668000272745,1.6182833957708052,59.0439497716895,137926666.66666666,137926.66666666666,4600513231.056283,4600.513231056283,0.2307042837711537,379770362.1165074
84,834.7896615877207,52.74867640819808,4.019422279803356,90433.88950132963,4.068529104968963,0.07351662644899146,1.588185983811217,55.98173515981735,111562988.88829365,111562.98888829365,3580746714.269767,3580.746714269767,0.25641793864503193,325558214.0621404
85,878.4996212892036,57.0,3.571367453134205,63521.62325941889,3.0,0.05,1.4422120511771577,45.89802130898021,84645614.03508772,84645.61403508772,3375532723.037884,3375.5327230378844,0.3557394226411727,246950314.0154721
86,1080.4448017725456,48.93333618802338,4.98492864852545,74990.42680171378,4.901959327987332,0.07107188307588116,2.19274915222257,65.98078386605783,141741817.3440949,141741.8173440949,5596686161.115705,5596.686161115705,0.21796368947017142,495699446.26965296
87,996.847033126505,50.97968266603316,5.3007313730828125,71252.76742376148,4.625720410433355,0.07199054009608628,2.3201147281612204,67.58942161339422,139369247.2851333,139369.24728513332,5778453546.446342,5778.453546446342,0.19363497499600163,514807324.01111364
88,874.509170963197,49.33131242519608,4.496627020401425,91756.53181966569,5.216203254948916,0.055088002282064646,1.792170608195081,61.516362252663626,131085099.54616916,131085.09954616916,5473823289.006373,5473.823289006374,0.21014503600631823,416145528.6228621
89,1023.1406092186533,46.20274809396387,5.386591025623689,76318.61101833069,4.6922979823078395,0.07341012556687555,2.3616613354858917,74.66324200913242,169873012.40259722,169873.01240259723,6880489376.262835,6880.489376262834,0.1652696185968417,619073619.1595504
90,963.8335507820957,45.0,4.131405960458384,88115.90294510774,4.53955765917986,0.07009404437297542,1.666561007017424,61.487823439878234,143635555.55555555,143635.55555555556,4834204408.899491,4834.204408899492,0.22692327906128618,424739830.4700986
91,1088.0319111509366,46.23336794626617,4.397262516983632,85144.22664789093,5.262011952217126,0.05498969426584882,1.848246872739111,61.91305175038052,140770622.801353,140770.62280135302,5800639733.492357,5800.639733492358,0.24616435971288952,441994085.74821633
92,849.9574341224773,45.0,3.951011018961931,71721.85341282867,5.356426897179343,0.08158646289047161,1.651714865702467,59.15334855403348,138182222.2222222,138182.22222222222,4025628556.135961,4025.628556135961,0.21715151585957784,391412157.8926056
93,903.308144109818,55.68008014599174,4.92959974412156,74365.20118422767,3.5640719603228264,0.08055695781407435,1.9977007783148861,59.92199391171994,113128429.1165563,113128.4291165563,4233926479.9153724,4233.9264799153725,0.22129352127015792,408194572.9477765
94,894.1245881786675,48.548769999820905,4.587204317415323,92420.64983182137,3.948790823680781,0.06634931270566026,1.8658434484678317,65.17789193302892,141126129.45755938,141126.12945755938,5321397022.540928,5321.3970225409275,0.1985443248863844,450340038.0193813
95,741.449119891173,47.64399623013509,4.918254435952487,72555.36657262963,4.428724752480142,0.06749787532526302,2.0485349757883884,69.26655251141553,152827230.63004816,152827.23063004814,6029254129.73078,6029.25412973078,0.14453777723129094,512979467.4403344
96,992.197139481702,52.4854829931682,5.154437888847041,81198.7290578766,4.566445396149094,0.07915092561370135,2.196570662694627,65.47564687975647,131137213.71099707,131137.21371099708,4962004183.494037,4962.004183494037,0.21021574254394262,471989931.61718
97,987.2003762856342,45.0,4.809480062392977,72487.60365126612,4.347461337737232,0.06747164439679125,2.089513788932251,69.40258751902587,162124444.44444445,162124.44444444444,6328347596.543347,6328.347596543347,0.18270290715549925,540330962.2464976
98,950.7286675715507,45.993892971022156,4.940562322990614,76986.05900560773,4.793089845056773,0.05,2.1529142017611127,70.78767123287672,161786696.43572527,161786.69643572526,7537978727.652142,7537.978727652142,0.17512090336498012,542898448.6164277
