region,sensitivity_type,CAPEX,H2_PRICE,EFFICIENCY,VOM,LIFETIME_HOURS,CAPACITY_MW,operating_hours,total_hours,utilisation_%,energy_consumed_mwh,h2_produced_kg,h2_produced_tonnes,electricity_cost_$,depreciation_cost_$,vom_cost_$,total_cost_$,lcoh_$/kg,lcoh_electricity_$/kg,lcoh_depreciation_$/kg,lcoh_vom_$/kg,avg_operating_price_$/mwh
VIC,CAPEX_H2_PRICE_grid,600,5.0,49,4.5,80000,100,73966,105120,70.36339421613394,7396600,150951020.40816328,150951.02040816328,216727940.0,55474500.0,33284700.0,305487140.0,2.023750082470324,1.435750082470324,0.3675,0.22049999999999997,29.30102209123111
VIC,CAPEX_H2_PRICE_grid,600,6.0,49,4.5,80000,100,83788,105120,79.70700152207002,8378800,170995918.36734694,170995.91836734695,314456332.0,62841000.0,37704600.0,415001932.0,2.42696981286103,1.8389698128610301,0.3675,0.2205,37.52999618083735
VIC,CAPEX_H2_PRICE_grid,800,3.0,49,4.5,80000,100,48512,105120,46.149162861491625,4851200,99004081.63265306,99004.08163265306,42098427.0,48512000.0,21830400.0,112440827.0,1.135719105169855,0.4252191051698549,0.49,0.2205,8.677940921833773
VIC,CAPEX_H2_PRICE_grid,800,4.0,49,4.5,80000,100,60607,105120,57.65506088280061,6060700,123687755.10204081,123687.75510204081,110349465.0,60607000.0,27273150.0,198229615.0,1.6026615960202617,0.8921615960202617,0.49,0.2205,18.20737951061759
VIC,CAPEX_H2_PRICE_grid,800,5.0,49,4.5,80000,100,72274,105120,68.75380517503805,7227400,147497959.18367347,147497.95918367346,201670207.0,72274000.0,32523300.0,306467507.0,2.0777745583474,1.3672745583474002,0.49,0.2205,27.903562415253063
VIC,CAPEX_H2_PRICE_grid,800,6.0,49,4.5,80000,100,82557,105120,78.53595890410959,8255700,168483673.46938777,168483.67346938778,300987337.0,82557000.0,37150650.0,420694987.0,2.4969480919849314,1.7864480919849315,0.48999999999999994,0.22049999999999997,36.45812432622309
VIC,CAPEX_H2_PRICE_grid,1000,3.0,49,4.5,80000,100,47836,105120,45.50608828006088,4783600,97624489.79591836,97624.48979591836,39020032.0,59795000.0,21526200.0,120341232.0,1.23269511832093,0.39969511832092985,0.6125,0.22050000000000003,8.157043231039383
VIC,CAPEX_H2_PRICE_grid,1000,4.0,49,4.5,80000,100,59478,105120,56.5810502283105,5947800,121383673.46938775,121383.67346938775,102936561.0,74347500.0,26765100.0,204049161.0,1.6810264112781197,0.8480264112781196,0.6125,0.2205,17.3066614546555
VIC,CAPEX_H2_PRICE_grid,1000,5.0,49,4.5,80000,100,70801,105120,67.3525494672755,7080100,144491836.73469388,144491.83673469388,188963849.0,88501250.0,31860450.0,309325549.0,2.140782178359063,1.3077821783590626,0.6124999999999999,0.2205,26.689432211409443
VIC,CAPEX_H2_PRICE_grid,1000,6.0,49,4.5,80000,100,81664,105120,77.68645357686454,8166400,166661224.48979592,166661.22448979592,291457005.0,102080000.0,36748800.0,430285805.0,2.58179913364518,1.7487991336451802,0.6124999999999999,0.2205,35.689778237656746
VIC,CAPEX_H2_PRICE_grid,1200,3.0,49,4.5,80000,100,47357,105120,45.050418569254184,4735700,96646938.7755102,96646.9387755102,36958345.0,71035500.0,21310650.0,129304495.0,1.3379057488861203,0.38240574888612033,0.735,0.2205,7.804198956859597
VIC,CAPEX_H2_PRICE_grid,1200,4.0,49,4.5,80000,100,58569,105120,55.71632420091325,5856900,119528571.42857143,119528.57142857143,97173019.0,87853500.0,26356050.0,211382569.0,1.7684689649814749,0.8129689649814749,0.735,0.2205,16.591203366968873
VIC,CAPEX_H2_PRICE_grid,1200,5.0,49,4.5,80000,100,69348,105120,65.9703196347032,6934800,141526530.6122449,141526.5306122449,176783089.0,104022000.0,31206600.0,312011689.0,2.2046162486300975,1.2491162486300975,0.735,0.2205,25.492168339389742
VIC,CAPEX_H2_PRICE_grid,1200,6.0,49,4.5,80000,100,80735,105120,76.80270167427702,8073500,164765306.12244898,164765.306122449,281768744.0,121102500.0,36330750.0,439201994.0,2.665621812844491,1.7101218128444913,0.735,0.2205,34.90044516009166
VIC,CAPEX_H2_PRICE_grid,1400,3.0,49,4.5,80000,100,46848,105120,44.5662100456621,4684800,95608163.26530612,95608.16326530611,34894180.0,81984000.0,21081600.0,137959780.0,1.44297071806694,0.3649707180669399,0.8575,0.22050000000000003,7.44838200136612
VIC,CAPEX_H2_PRICE_grid,1400,4.0,49,4.5,80000,100,56913,105120,54.14098173515982,5691300,116148979.59183674,116148.97959183673,87104881.0,99597750.0,25610850.0,212313481.0,1.8279409922161896,0.7499409922161896,0.8575,0.2205,15.304918208493662
VIC,CAPEX_H2_PRICE_grid,1400,5.0,49,4.5,80000,100,68113,105120,64.79547184170472,6811300,139006122.4489796,139006.1224489796,166745019.0,119197750.0,30650850.0,316593619.0,2.2775516173124073,1.1995516173124074,0.8575,0.2205,24.480645251273618
VIC,CAPEX_H2_PRICE_grid,1400,6.0,49,4.5,80000,100,79504,105120,75.6316590563166,7950400,162253061.2244898,162253.06122448982,269275857.0,139132000.0,35776800.0,444184657.0,2.737604169978869,1.6596041699788688,0.8574999999999999,0.22049999999999997,33.86947285671162
QLD,CAPEX_H2_PRICE_grid,600,3.0,51,5.5,75000,100,27042,105120,25.724885844748858,2704200,53023529.4117647,53023.529411764706,28968843.0,21633600.0,14873100.0,65475543.0,1.2348393953849568,0.5463393953849568,0.40800000000000003,0.2805,10.712537164410916
QLD,CAPEX_H2_PRICE_grid,600,4.0,51,5.5,75000,100,45196,105120,42.99467275494673,4519600,88619607.84313725,88619.60784313724,133926586.0,36156800.0,24857800.0,194941186.0,2.199752297990973,1.5112522979909728,0.40800000000000003,0.2805,29.632397999822995
QLD,CAPEX_H2_PRICE_grid,600,5.0,51,5.5,75000,100,58224,105120,55.38812785388127,5822400,114164705.88235295,114164.70588235295,230667464.0,46579200.0,32023200.0,309269864.0,2.7089796413849956,2.0204796413849957,0.408,0.28049999999999997,39.617247870294044
QLD,CAPEX_H2_PRICE_grid,600,6.0,51,5.5,75000,100,74445,105120,70.81906392694064,7444500,145970588.2352941,145970.5882352941,381556695.0,59556000.0,40944750.0,482057445.0,3.302428597622406,2.6139285976224063,0.40800000000000003,0.2805,51.253501914164815
QLD,CAPEX_H2_PRICE_grid,800,3.0,51,5.5,75000,100,26801,105120,25.49562404870624,2680100,52550980.39215686,52550.98039215686,27907224.0,28587733.333333332,14740550.0,71235507.33333333,1.3555504921458155,0.5310504921458155,0.544,0.2805,10.412754747957166
QLD,CAPEX_H2_PRICE_grid,800,4.0,51,5.5,75000,100,41627,105120,39.599505327245055,4162700,81621568.62745099,81621.568627451,111234079.0,44402133.33333333,22894850.0,178531062.3333333,2.187302514954236,1.3628025149542362,0.5439999999999999,0.28049999999999997,26.721617940279152
QLD,CAPEX_H2_PRICE_grid,800,5.0,51,5.5,75000,100,56354,105120,53.60920852359209,5635400,110498039.21568628,110498.03921568628,215100779.0,60110933.33333333,30994700.0,306206412.3333333,2.771147927210136,1.9466479272101358,0.5439999999999999,0.28049999999999997,38.16956720019874
QLD,CAPEX_H2_PRICE_grid,800,6.0,51,5.5,75000,100,73195,105120,69.62994672754947,7319500,143519607.84313726,143519.60784313726,368707824.0,78074666.66666666,40257250.0,487039740.6666666,3.393541467859826,2.5690414678598263,0.5439999999999999,0.28049999999999997,50.373362114898555
QLD,CAPEX_H2_PRICE_grid,1000,3.0,51,5.5,75000,100,26312,105120,25.030441400304415,2631200,51592156.8627451,51592.1568627451,25866862.0,35082666.66666667,14471600.0,75421128.66666667,1.4618719831255702,0.5013719831255701,0.68,0.28049999999999997,9.830823198540589
QLD,CAPEX_H2_PRICE_grid,1000,4.0,51,5.5,75000,100,37309,105120,35.491818873668194,3730900,73154901.96078432,73154.90196078432,84972003.0,49745333.333333336,20519950.0,155237286.33333334,2.122035327400895,1.1615353274008953,0.68,0.28049999999999997,22.775202498056768
QLD,CAPEX_H2_PRICE_grid,1000,5.0,51,5.5,75000,100,54666,105120,52.00342465753425,5466600,107188235.29411764,107188.23529411765,201500787.0,72888000.0,30066300.0,304455087.0,2.8403778284491277,1.8798778284491275,0.68,0.2805,36.86034957743387
